tensor(0.6656, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5583, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5851, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5951, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6071, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5769, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5786, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5325, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5510, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5327, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5098, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5838, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5851, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5522, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5545, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5164, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5313, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5104, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4284, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4590, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4097, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3886, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4042, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4500, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4838, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4752, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4574, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4741, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5640, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5279, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4481, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4749, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4265, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5458, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4991, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4439, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5323, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4330, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4411, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4420, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4227, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4415, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3529, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4397, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3364, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3790, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3407, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4571, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4852, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4441, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4337, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5095, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4701, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3699, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4934, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5357, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5061, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5685, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6113, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6968, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6773, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6077, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6267, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7420, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6516, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6580, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5724, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5391, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5689, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6768, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5764, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6248, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5111, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6616, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5594, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5660, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5842, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4725, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6655, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5865, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5506, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6014, device='cuda:0', grad_fn=<AddBackward0>)
